"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2013","45,561.08","45,485.46","45,674.75","45,469.89","133.35M","0.10%"
"Oct 31, 2013","45,517.56","45,507.03","45,659.25","45,392.87","166.07M","-0.21%"
"Oct 30, 2013","45,611.91","45,515.28","45,676.01","45,448.08","130.41M","0.37%"
"Oct 29, 2013","45,443.88","45,248.82","45,572.76","45,222.27","132.58M","0.09%"
"Oct 28, 2013","45,401.67","45,293.68","45,485.02","45,291.70","125.77M","0.62%"
"Oct 25, 2013","45,124.04","45,056.12","45,177.47","44,967.97","145.05M","0.13%"
"Oct 24, 2013","45,063.49","45,128.67","45,189.29","44,919.42","150.40M","0.06%"
"Oct 23, 2013","45,035.78","45,266.63","45,266.63","44,980.26","154.16M","-0.71%"
"Oct 22, 2013","45,357.81","45,058.16","45,486.01","45,022.45","181.56M","0.96%"
"Oct 21, 2013","44,926.71","44,897.60","44,993.13","44,849.39","130.12M","0.53%"
"Oct 18, 2013","44,689.29","44,753.21","44,753.21","44,547.62","161.45M","0.39%"
"Oct 17, 2013","44,514.12","44,494.34","44,623.47","44,375.64","161.71M","0.22%"
"Oct 16, 2013","44,418.01","44,177.79","44,519.96","44,142.76","192.26M","0.27%"
"Oct 15, 2013","44,297.17","43,891.46","44,320.69","43,891.46","160.03M","1.31%"
"Oct 14, 2013","43,723.16","43,483.13","43,774.57","43,346.86","105.37M","0.24%"
"Oct 11, 2013","43,620.57","43,466.19","43,657.10","43,416.92","186.05M","0.69%"
"Oct 10, 2013","43,321.36","42,853.94","43,321.36","42,828.24","-","1.27%"
"Oct 09, 2013","42,779.87","43,158.51","43,174.80","42,741.16","161.39M","-1.10%"
"Oct 08, 2013","43,253.61","43,704.21","43,706.08","43,193.29","155.02M","-1.08%"
"Oct 07, 2013","43,725.70","43,661.87","43,725.70","43,529.80","125.57M","-0.46%"
"Oct 04, 2013","43,925.68","43,881.11","44,012.24","43,632.91","135.12M","-0.18%"
"Oct 03, 2013","44,006.86","43,972.24","44,199.22","43,907.87","195.39M","0.09%"
"Oct 02, 2013","43,967.84","44,021.56","44,059.68","43,766.97","153.79M","0.05%"
"Oct 01, 2013","43,946.53","43,876.51","44,058.85","43,788.07","-","-0.19%"
"Sep 30, 2013","44,031.83","43,985.80","44,113.04","43,871.59","220.55M","-0.74%"
